Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,UTTARAKHAND,HARDWAR,0.48,297.29,4.26,24.18119046
2020/01/31,UTTARAKHAND,NAINITAL,0.08,606.28,0.64,28.50169021
2020/01/31,UTTARAKHAND,ALMORA,0.26,482.07,2.43,30.18897498
2020/01/31,UTTARAKHAND,PITHORAGARH,0.01,828.6,0.08,22.20116362
2020/01/31,UTTARAKHAND,CHAMOLI,0.06,943.78,0.7,23.33725335
2020/01/31,UTTARAKHAND,DEHRADUN,0.11,524.65,0.67,33.11501187
2020/01/31,UTTARAKHAND,GARHWAL,0.13,793.72,1.54,28.23489391
2020/01/31,UTTARAKHAND,UDHAM SINGH NAGAR,0.18,378.74,1.28,26.80227829
2020/01/31,UTTARAKHAND,BAGESHWAR,0.06,316.77,0.85,26.94527608
2020/01/31,UTTARAKHAND,RUDRAPRAYAG,0.09,219.47,0.98,23.14379781
2020/01/31,UTTARAKHAND,UTTARKASHI,0.2,968.74,1.77,23.26287811
2020/01/31,UTTARAKHAND,TEHRI GARHWAL,0.01,575.85,0.13,28.84346683
2020/01/31,UTTARAKHAND,CHAMPAWAT,0.19,258.67,1.27,30.51565503
2020/01/30,UTTARAKHAND,HARDWAR,0.54,302.64,4.79,24.616199
2020/01/30,UTTARAKHAND,NAINITAL,0.11,629.98,0.87,29.61564692
2020/01/30,UTTARAKHAND,ALMORA,0.33,499.98,2.88,31.31042699
2020/01/30,UTTARAKHAND,PITHORAGARH,0.01,834.77,0.08,22.36652126
2020/01/30,UTTARAKHAND,CHAMOLI,0.06,949.39,0.71,23.47609743
2020/01/30,UTTARAKHAND,DEHRADUN,0.13,538.75,0.81,34.00472642
2020/01/30,UTTARAKHAND,GARHWAL,0.16,820.93,1.74,29.20261918
2020/01/30,UTTARAKHAND,UDHAM SINGH NAGAR,0.23,391.92,1.59,27.73513325
2020/01/30,UTTARAKHAND,BAGESHWAR,0.06,321.3,0.9,27.33058904
2020/01/30,UTTARAKHAND,RUDRAPRAYAG,0.09,221.13,0.97,23.3193089
2020/01/30,UTTARAKHAND,UTTARKASHI,0.21,975.55,1.85,23.42641348
2020/01/30,UTTARAKHAND,TEHRI GARHWAL,0.02,584.69,0.19,29.28603444
2020/01/30,UTTARAKHAND,CHAMPAWAT,0.24,269.32,1.66,31.77228935
2020/01/29,UTTARAKHAND,HARDWAR,0.62,308.93,5.43,25.12766592
2020/01/29,UTTARAKHAND,NAINITAL,1.38,699.6,10.29,32.88836807
2020/01/29,UTTARAKHAND,ALMORA,1.49,555.86,10.69,34.8098627
2020/01/29,UTTARAKHAND,PITHORAGARH,0.06,845.63,0.4,22.6576664
2020/01/29,UTTARAKHAND,CHAMOLI,0.09,957.44,0.85,23.67493237
2020/01/29,UTTARAKHAND,DEHRADUN,0.57,573.36,3.44,36.18944186
2020/01/29,UTTARAKHAND,GARHWAL,1.2,905.45,8.83,32.20936419
2020/01/29,UTTARAKHAND,UDHAM SINGH NAGAR,1.27,430.97,8.16,30.49820817
2020/01/29,UTTARAKHAND,BAGESHWAR,0.07,326.79,0.96,27.7970352
2020/01/29,UTTARAKHAND,RUDRAPRAYAG,0.09,222.47,0.96,23.45998061
2020/01/29,UTTARAKHAND,UTTARKASHI,0.22,980.69,1.88,23.54971644
2020/01/29,UTTARAKHAND,TEHRI GARHWAL,0.05,597.81,0.36,29.94316998
2020/01/29,UTTARAKHAND,CHAMPAWAT,1.62,301.53,10.29,35.57172278
2020/01/28,UTTARAKHAND,HARDWAR,1.61,378.56,12.5,30.79094562
2020/01/28,UTTARAKHAND,NAINITAL,0.15,601.99,1.17,28.29981453
2020/01/28,UTTARAKHAND,ALMORA,0.13,456.28,1.56,28.57358085
2020/01/28,UTTARAKHAND,PITHORAGARH,0.01,820.44,0.08,21.98274825
2020/01/28,UTTARAKHAND,CHAMOLI,0.06,962.95,0.71,23.81123142
2020/01/28,UTTARAKHAND,DEHRADUN,0.39,578.78,2.41,36.53126064
2020/01/28,UTTARAKHAND,GARHWAL,0.64,871.77,5.01,31.01110031
2020/01/28,UTTARAKHAND,UDHAM SINGH NAGAR,0.39,411.03,2.65,29.08741067
2020/01/28,UTTARAKHAND,BAGESHWAR,0.09,321.55,1.13,27.35129578
2020/01/28,UTTARAKHAND,RUDRAPRAYAG,0.08,225.09,0.82,23.73660096
2020/01/28,UTTARAKHAND,UTTARKASHI,0.22,1006.77,1.91,24.17615877
2020/01/28,UTTARAKHAND,TEHRI GARHWAL,0.03,595.82,0.25,29.84336775
2020/01/28,UTTARAKHAND,CHAMPAWAT,0,236.4,0,27.88857149
2020/01/27,UTTARAKHAND,HARDWAR,0.51,300.92,4.45,24.47585738
2020/01/27,UTTARAKHAND,NAINITAL,0.01,532.6,0.07,25.03796892
2020/01/27,UTTARAKHAND,ALMORA,0.08,423.08,1.14,26.49479551
2020/01/27,UTTARAKHAND,PITHORAGARH,0.01,818.75,0.08,21.93730492
2020/01/27,UTTARAKHAND,CHAMOLI,0.07,960.75,0.72,23.75694197
2020/01/27,UTTARAKHAND,DEHRADUN,0.02,482.86,0.15,30.47676025
2020/01/27,UTTARAKHAND,GARHWAL,0.08,708.19,1.15,25.19215145
2020/01/27,UTTARAKHAND,UDHAM SINGH NAGAR,0.02,333.41,0.16,23.59434395
2020/01/27,UTTARAKHAND,BAGESHWAR,0.08,319.85,1.1,27.20666864
2020/01/27,UTTARAKHAND,RUDRAPRAYAG,0.08,223.75,0.88,23.59536493
2020/01/27,UTTARAKHAND,UTTARKASHI,0.22,979.61,1.89,23.52396875
2020/01/27,UTTARAKHAND,TEHRI GARHWAL,0.01,560.07,0.12,28.05291778
2020/01/27,UTTARAKHAND,CHAMPAWAT,0,219.53,0,25.89814212
2020/01/26,UTTARAKHAND,HARDWAR,0.51,299.19,4.49,24.3353316
2020/01/26,UTTARAKHAND,NAINITAL,0.01,539.21,0.09,25.34859421
2020/01/26,UTTARAKHAND,ALMORA,0.08,425.53,1.15,26.64809391
2020/01/26,UTTARAKHAND,PITHORAGARH,0.01,816.98,0.08,21.88988116
2020/01/26,UTTARAKHAND,CHAMOLI,0.08,964.74,0.77,23.85548946
2020/01/26,UTTARAKHAND,DEHRADUN,0.02,486.02,0.16,30.67649355
2020/01/26,UTTARAKHAND,GARHWAL,0.09,715.66,1.22,25.45801942
2020/01/26,UTTARAKHAND,UDHAM SINGH NAGAR,0.04,337.62,0.24,23.89214694
2020/01/26,UTTARAKHAND,BAGESHWAR,0.09,307.88,1.15,26.18906316
2020/01/26,UTTARAKHAND,RUDRAPRAYAG,0.07,224.58,0.79,23.68268324
2020/01/26,UTTARAKHAND,UTTARKASHI,0.22,984.91,1.91,23.6512408
2020/01/26,UTTARAKHAND,TEHRI GARHWAL,0.01,563.06,0.12,28.20276339
